# path	class	soname	elf_type
usr/lib/gconv/ISO-2022-KR.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO-IR-197.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO-IR-209.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO646.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-1.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-10.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-11.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-13.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-14.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-15.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-16.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-2.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-3.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-4.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-5.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-6.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-7.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-8.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-9.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO8859-9E.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO_10367-BOX.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO_11548-1.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO_2033.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO_5427-EXT.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO_5427.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO_5428.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO_6937-2.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO_6937.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/JOHAB.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/KOI-8.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/KOI8-R.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/KOI8-RU.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/KOI8-T.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/KOI8-U.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/LATIN-GREEK-1.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/LATIN-GREEK.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/MAC-CENTRALEUROPE.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/MAC-IS.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/MAC-SAMI.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/MAC-UK.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/MACINTOSH.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/MIK.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/NATS-DANO.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/NATS-SEFI.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/PT154.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/RK1048.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/SAMI-WS2.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/SHIFT_JISX0213.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/SJIS.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/T.61.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/TCVN5712-1.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/TIS-620.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/TSCII.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/UHC.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/UNICODE.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/UTF-16.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/UTF-32.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/UTF-7.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/VISCII.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/libCNS.so	library	libCNS.so	DYN (Shared object file)
usr/lib/gconv/libGB.so	library	libGB.so	DYN (Shared object file)
usr/lib/gconv/libISOIR165.so	library	libISOIR165.so	DYN (Shared object file)
usr/lib/gconv/libJIS.so	library	libJIS.so	DYN (Shared object file)
usr/lib/gconv/libJISX0213.so	library	libJISX0213.so	DYN (Shared object file)
usr/lib/gconv/libKSC.so	library	libKSC.so	DYN (Shared object file)
usr/lib/gobject-introspection/giscanner/_giscanner.cpython-39-x86_64-linux-gnu.so	library	_giscanner.cpython-39-x86_64-linux-gnu.so	DYN (Shared object file)
usr/lib/imlib2/filters/bumpmap.so	library	bumpmap.so	DYN (Shared object file)
