# path	elf_type	interp	needed (comma-separated)
usr/bin/wbinfo	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcliauth-samba4.so,libgenrand-samba4.so,libpopt.so.0,libpthread.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-hostconfig.so.0,libsamba-util.so.0,libtalloc.so.2,libwbclient.so.0,libwinbind-client-samba4.so
usr/bin/wget	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libgnutls.so.30,libnettle.so.8,libpcre.so.1,libuuid.so.1,libz.so.1
usr/bin/whereis	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/which	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/whiptail	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libnewt.so.0.52,libpopt.so.0,libslang.so.2
usr/bin/whois	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/xargs	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/xkbcli	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libxkbcommon.so.0
usr/bin/xmlcatalog	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libdl.so.2,liblzma.so.5,libm.so.6,libpthread.so.0,libxml2.so.2,libz.so.1
usr/bin/xmllint	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libdl.so.2,liblzma.so.5,libm.so.6,libpthread.so.0,libxml2.so.2,libz.so.1
usr/bin/xmlwf	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libexpat.so.1,libgcc_s.so.1
usr/bin/xxd	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/xz	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,liblzma.so.5,libpthread.so.0
usr/bin/xzdec	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,liblzma.so.5,libpthread.so.0
usr/bin/zip	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libbz2.so.1.0,libc.so.6
usr/bin/zipcloak	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libbz2.so.1.0,libc.so.6
usr/bin/zipnote	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libbz2.so.1.0,libc.so.6
usr/bin/zipsplit	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libbz2.so.1.0,libc.so.6
usr/bin/zsh	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libcap.so.2,libdl.so.2,libm.so.6,libncursesw.so.6,libpcre.so.1,librt.so.1
usr/lib/security/pam_filter/upperLOWER	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libpam.so.0
usr/lib/udev/ata_id	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libblkid.so.1,libc.so.6,libcrypto.so.1.1,libkmod.so.2,liblzma.so.5,libpthread.so.0,libz.so.1
usr/lib/udev/cdrom_id	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libblkid.so.1,libc.so.6,libcrypto.so.1.1,libkmod.so.2,liblzma.so.5,libpthread.so.0,libz.so.1
usr/lib/udev/collect	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libblkid.so.1,libc.so.6,libcrypto.so.1.1,libkmod.so.2,liblzma.so.5,libpthread.so.0,libz.so.1
usr/lib/udev/hid2hci	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libudev.so.1
usr/lib/udev/libinput-device-group	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libudev.so.1
usr/lib/udev/libinput-fuzz-extract	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libudev.so.1
